"year","adm1","adm1_code","adm2","adm2_code","type","class1","class2","unit","value"
2010,"Chungcheongbuk-do",33,"Cheongju-si",33010,"population","all households","total","persons",646939
2010,"Chungcheongbuk-do",33,"Cheongju-si",33010,"population","all households","male","persons",318355
2010,"Chungcheongbuk-do",33,"Cheongju-si",33010,"population","all households","female","persons",328584
2020,"Chungcheongbuk-do",33,"Cheongju-si",33040,"tax","income","general","million KRW",524478
2020,"Chungcheongbuk-do",33,"Cheongju-si",33040,"tax","income","labor","million KRW",598560
2015,"Chungcheongbuk-do",33,"Cheongju-si",33040,"population","all households","total","persons",797099
2015,"Chungcheongbuk-do",33,"Cheongju-si",33040,"population","all households","male","persons",394605
2015,"Chungcheongbuk-do",33,"Cheongju-si",33040,"population","all households","female","persons",402494
2020,"Chungcheongbuk-do",33,"Cheongju-si",33040,"population","all households","total","persons",827261
2020,"Chungcheongbuk-do",33,"Cheongju-si",33040,"population","all households","male","persons",413658
2020,"Chungcheongbuk-do",33,"Cheongju-si",33040,"population","all households","female","persons",413603
2020,"Chungcheongbuk-do",33,"Cheongju-si",33040,"mortality","All causes","total","per 100k population",312.3
2020,"Chungcheongbuk-do",33,"Cheongju-si",33040,"mortality","All causes","male","per 100k population",418.5
2020,"Chungcheongbuk-do",33,"Cheongju-si",33040,"mortality","All causes","female","per 100k population",225.4
2015,"Chungcheongbuk-do",33,"Cheongju-si",33040,"economy","company","total","count",58341
2020,"Chungcheongbuk-do",33,"Cheongju-si",33040,"economy","company","total","count",91570
2020,"Chungcheongnam-do",34,"Cheonan-si",34010,"tax","income","general","million KRW",511559
2020,"Chungcheongnam-do",34,"Cheonan-si",34010,"tax","income","labor","million KRW",546710
2010,"Chungcheongnam-do",34,"Cheonan-si",34010,"population","all households","total","persons",565959
2010,"Chungcheongnam-do",34,"Cheonan-si",34010,"population","all households","male","persons",286860
2010,"Chungcheongnam-do",34,"Cheonan-si",34010,"population","all households","female","persons",279099
2015,"Chungcheongnam-do",34,"Cheonan-si",34010,"population","all households","total","persons",594723
2015,"Chungcheongnam-do",34,"Cheonan-si",34010,"population","all households","male","persons",299570
2015,"Chungcheongnam-do",34,"Cheonan-si",34010,"population","all households","female","persons",295153
2020,"Chungcheongnam-do",34,"Cheonan-si",34010,"population","all households","total","persons",656788
2020,"Chungcheongnam-do",34,"Cheonan-si",34010,"population","all households","male","persons",331740
